trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-219.98576051750356,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-152.52306571518994,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-114.03164600267637,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-119.54829519414331,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-202.5416185508078,"{0: 19, 1: 3, 2: 9, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-221.10056989718964,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-57.764510864289015,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-148.2638012793292,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-172.01252684013207,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-7.890405672650051,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-91.29920907647342,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,6,-77.58586954994351,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-185.83402832489313,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,5.451360236459805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-49.74770461440419,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-72.12472998858513,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,32.08713293917944,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-68.89808549628101,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,16.53084556245186,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-16.461825516260163,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",30,0,-21.04992573524622,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",30,0,20.341270552560786,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",20,11,15.081063043217231,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",20,6,-11.479933138500396,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",20,2,-40.85142238582503,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 0}",20,0,29.350811328346005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",20,8,16.973222751925334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0}",25,12,22.663976076613757,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",20,8,-25.80959476635802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 0}",20,0,-19.183318252405076,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
