trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",25,0,-140.5799064232769,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.997004495503373}",25,0,-120.4552746084624,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.9940179640539353}",20,0,-48.56852990358398,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.9910403787728836}",25,0,-143.71914946642698,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.25, 'e': 0.9880717128619305}",20,0,-62.2096994378213,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.25, 'e': 0.9851119396030626}",25,0,-90.71458106790607,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.9821610323583008}",20,0,-111.37359440297831,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.25, 'e': 0.9792189645694596}",20,0,-128.19710107111518,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.25, 'e': 0.9762857097579093}",20,0,-62.78184368487453,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.25, 'e': 0.9733612415243368}",30,0,-108.9042970855333,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.9704455335485082}",35,0,-101.56038282767588,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.967538559589032}",20,0,-115.63085307225082,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.9646402934831231}",25,1,-146.49840484542588,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 3}",1
14,False,"{'a': 0.25, 'e': 0.9617507091463667}",20,0,-86.19565158082607,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.9588697805724845}",20,0,-143.27456822614513,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.9559974818331}",20,0,-214.0885134206595,"{0: 4, 1: 8, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.25, 'e': 0.9531337870775047}",20,0,-99.67944458083329,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.25, 'e': 0.950278670532427}",20,0,-115.44806462439513,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.25, 'e': 0.9474321065017983}",25,0,-150.399571312556,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.25, 'e': 0.9445940693665233}",25,0,-143.1744689718462,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",1
21,False,"{'a': 0.25, 'e': 0.9417645335842487}",25,0,-150.1481250001456,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
22,False,"{'a': 0.25, 'e': 0.9389434736891332}",20,0,-34.10843653809337,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.25, 'e': 0.9361308642916188}",30,0,-225.0327048847407,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
24,False,"{'a': 0.25, 'e': 0.933326680078202}",20,0,-119.1490206775,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.25, 'e': 0.9305308958112057}",20,0,-73.06636285083796,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.25, 'e': 0.9277434863285529}",20,0,-182.59624845639314,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
27,False,"{'a': 0.25, 'e': 0.9249644265435393}",25,0,-212.71348804900992,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
28,False,"{'a': 0.25, 'e': 0.922193691444608}",25,0,-162.0364916515384,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
29,False,"{'a': 0.25, 'e': 0.9194312560951247}",20,0,-108.99622794926772,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
30,False,"{'a': 0.25, 'e': 0.9166770956331523}",25,0,-126.52010431059041,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
31,False,"{'a': 0.25, 'e': 0.9139311852712282}",25,0,-148.67416065769572,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.25, 'e': 0.9111935002961405}",20,0,-105.12067415134614,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.25, 'e': 0.9084640160687062}",20,0,-68.58768229800546,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.25, 'e': 0.9057427080235485}",20,0,-155.57997249886915,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.25, 'e': 0.9030295516688768}",20,0,-48.843530981234956,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.25, 'e': 0.9003245225862656}",20,0,-135.58072436512242,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.25, 'e': 0.8976275964304349}",25,11,-80.03256370617177,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
38,False,"{'a': 0.25, 'e': 0.894938748929031}",30,0,-25.65449963850266,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.25, 'e': 0.8922579558824083}",20,0,-247.6105935163666,"{0: 10, 1: 3, 2: 0, 3: 2, 4: 5}",0
40,False,"{'a': 0.25, 'e': 0.8895851931634113}",35,0,-219.93513036489205,"{0: 24, 1: 0, 2: 6, 3: 1, 4: 4}",0
41,False,"{'a': 0.25, 'e': 0.8869204367171575}",20,0,-95.81224864773657,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
42,False,"{'a': 0.25, 'e': 0.8842636625608209}",20,0,-24.168320967925318,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.25, 'e': 0.8816148467834161}",30,0,-70.10771189730087,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
44,False,"{'a': 0.25, 'e': 0.8789739655455832}",20,0,-77.87460909128482,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
