trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.8712681412656,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.271558246362595,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.9232093264622,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.71931363391732,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.42446552429567,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.87477054304814,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-244.46642915358686,"{0: 14, 1: 2, 2: 10, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.57767994642069,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-264.34134252494897,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.09560224211143,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.76102172525897,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.51395910614306,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.93876000128742,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.8349681503168,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,11,-84.68447600789257,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.37300704514787,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,20,-56.457585682215495,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.5039059056065,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.83542411394188,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.77949798738072,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.44237085404574,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-75.17551038833636,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.6441444460573,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.50460882894086,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-66.39320484578778,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,11,-0.5647385555316737,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.75506054507021,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.80499487104858,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.88106898722413,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.95048542886403,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 4}",0
